category,tag,suffix,count
ar,VMIP1S0,o
ar,VMIP2S0,as
ar,VMIP3S0,a
ar,VMIP3P0,an
ar,VMIS1S0,é
ar,VMM01P0,emos
ar,VMM02S0,a
ar,VMM03S0,e
ar,VMM03P0,en
ar,VMSP1S0,e
ar,VMSP1P0,emos
ar,VMSP2S0,es
ar,VMSP2P0,éis
ar,VMSP3S0,e
ar,VMSP3P0,en
er,VMIP1S0,o
er,VMIP2P0,ais
er,VMIP2S0,es
er,VMIP3P0,en
er,VMIP3S0,e
er,VMIS1P0,imos
er,VMIS1S0,e
er,VMIS2P0,isteis
er,VMIS2S0,iste
er,VMIS3P0,ieron
er,VMIS3S0,o
er,VMM00PF,as
er,VMM00PM,os
er,VMM00SF,a
er,VMM00SM,o
er,VMM01P0,amos
er,VMM02S0,e
er,VMM02S0,én
er,VMM03P0,an
er,VMM03S0,a
er,VMP00PF,as
er,VMP00PM,os
er,VMP00SF,a
er,VMP00SM,o
er,VMSF1P0,iéremos
er,VMSF1S0,iere
er,VMSF2P0,iereis
er,VMSF2S0,ieres
er,VMSF3P0,ieren
er,VMSF3S0,iere
er,VMSI1P0,iésemos
er,VMSI1S0,iese
er,VMSI2P0,ieseis
er,VMSI2S0,ieses
er,VMSI3P0,iesen
er,VMSI3S0,iese
er,VMSP1P0,amos
er,VMSP1S0,a
er,VMSP2P0,áis
er,VMSP2S0,as
er,VMSP3P0,an
er,VMSP3S0,a
ir,VMG0000,iendo
ir,VMG0000,endo
ir,VMIC1P0,íamos
ir,VMIC1S0,ía
ir,VMIC2P0,íais
ir,VMIC2S0,ías
ir,VMIC3P0,ían
ir,VMIC3S0,ía
ir,VMIF1P0,emos
ir,VMIF1S0,é
ir,VMIF2P0,éis
ir,VMIF2S0,ás
ir,VMIF3P0,án
ir,VMIF3S0,á
ir,VMIP1S0,o
ir,VMIP2S0,es
ir,VMIP3P0,en
ir,VMIP3S0,e
ir,VMIS1S0,e
ir,VMIS1P0,imos
ir,VMIS2P0,isteis
ir,VMIS2S0,iste
ir,VMIS3P0,ieron
ir,VMIS3P0,eron
ir,VMIS3S0,ió
ir,VMIS3S0,ó
ir,VMIS3S0,o
ir,VMM01P0,amos
ir,VMM02S0,e
ir,VMM03P0,an
ir,VMM03S0,a
ir,VMP00PF,as
ir,VMP00PM,os
ir,VMP00SF,a
ir,VMP00SM,o
ir,VMSF1P0,iéremos
ir,VMSF1P0,éremos
ir,VMSF1S0,iere
ir,VMSF1S0,ere
ir,VMSF2P0,iereis
ir,VMSF2P0,ereis
ir,VMSF2S0,ieres
ir,VMSF2S0,eres
ir,VMSF3P0,ieren
ir,VMSF3P0,eren
ir,VMSF3S0,iere
ir,VMSF3S0,ere
ir,VMSI1P0,iésemos
ir,VMSI1P0,ésemos
ir,VMSI1S0,iese
ir,VMSI1S0,ese
ir,VMSI2P0,ieseis
ir,VMSI2P0,eseis
ir,VMSI2S0,ieses
ir,VMSI2S0,eses
ir,VMSI3P0,iesen
ir,VMSI3P0,esen
ir,VMSI3S0,iese
ir,VMSI3S0,ese
ir,VMSP1P0,iamos
ir,VMSP1P0,amos
ir,VMSP1S0,a
ir,VMSP2P0,áis
ir,VMSP2S0,as
ir,VMSP3P0,an
ir,VMSP3S0,a
ar,VMII1S0,aba,6709
ar,VMII3S0,aba,6712
ar,VMII2P0,abais,6709
ar,VMII3P0,aban,6709
ar,VMII2S0,abas,6709
ar,VMM02P0,ad,6709
ar,VMP00SF,ada,6708
ar,VMP00PF,adas,6708
ar,VMP00SM,ado,6709
ar,VMP00PM,ados,6708
ar,VMIP1P0,amos,6709
ar,VMIS1P0,amos,6705
ar,VMG0000,ando,6712
ar,VMN0000,ar,6704
ar,VMSI1S0,ara,6705
ar,VMSI1S0,ase,6705
ar,VMSI3S0,ara,6708
ar,VMSI3S0,ase,6708
ar,VMSI2P0,arais,6705
ar,VMSI2P0,aseis,6705
ar,VMSI3P0,aran,6705
ar,VMSI3P0,asen,6705
ar,VMSI2S0,aras,6705
ar,VMSI2S0,ases,6705
ar,VMSF1S0,are,6705
ar,VMSF3S0,are,6705
ar,VMSF2P0,areis,6705
ar,VMIF1P0,aremos,6709
ar,VMSF3P0,aren,6705
ar,VMSF2S0,ares,6705
ar,VMIS3P0,aron,6705
ar,VMIF3S0,ará,6712
ar,VMIF3P0,arán,6709
ar,VMIF2S0,arás,6709
ar,VMIF1S0,aré,6709
ar,VMIF2P0,aréis,6709
ar,VMIC1S0,aría,6709
ar,VMIC3S0,aría,6712
ar,VMIC2P0,aríais,6709
ar,VMIC1P0,aríamos,6709
ar,VMIC3P0,arían,6709
ar,VMIC2S0,arías,6709
ar,VMIS2S0,aste,6705
ar,VMIS2P0,asteis,6705
ar,VMII1P0,ábamos,6709
ar,VMIP2P0,áis,6708
ar,VMSI1P0,áramos,6705
ar,VMSI1P0,ásemos,6705
ar,VMSF1P0,áremos,6705
ar,VMIS3S0,ó,6708
er,VMM02P0,ed,455
er,VMIP1P0,emos,456
er,VMN0000,er,458
er,VMIF1P0,eremos,399
er,VMIF3S0,erá,400
er,VMIF3P0,erán,400
er,VMIF2S0,erás,399
er,VMIF1S0,eré,399
er,VMIF2P0,eréis,399
er,VMIC1S0,ería,399
er,VMIC3S0,ería,400
er,VMIC2P0,eríais,399
er,VMIC1P0,eríamos,399
er,VMIC3P0,erían,400
er,VMIC2S0,erías,399
er,VMP00SF,ida,380
er,VMP00PF,idas,380
er,VMP00SM,ido,381
er,VMP00PM,idos,380
er,VMG0000,iendo,426
er,VMSI1S0,iera,373
er,VMSI3S0,iera,374
er,VMSI2P0,ierais,373
er,VMSI3P0,ieran,374
er,VMSI2S0,ieras,373
er,VMSI1P0,iéramos,373
er,VMIS3S0,ió,373
er,VMIP2P0,éis,456
er,VMIS1S0,í,389
er,VMII1S0,ía,450
er,VMII3S0,ía,451
er,VMII2P0,íais,450
er,VMII1P0,íamos,450
er,VMII3P0,ían,451
er,VMII2S0,ías,450
ir,VMM02P0,id,478
ir,VMP00SF,ida,440
ir,VMP00PF,idas,440
ir,VMP00SM,ido,439
ir,VMP00PM,idos,439
ir,VMSI1S0,iera,277
ir,VMSI3S0,iera,277
ir,VMSI2P0,ierais,277
ir,VMSI3P0,ieran,277
ir,VMSI2S0,ieras,277
ir,VMIP1P0,imos,477
ir,VMN0000,ir,478
ir,VMIF1P0,iremos,456
ir,VMIF3S0,irá,456
ir,VMIF3P0,irán,456
ir,VMIF2S0,irás,456
ir,VMIF1S0,iré,456
ir,VMIF2P0,iréis,456
ir,VMIC1S0,iría,456
ir,VMIC3S0,iría,456
ir,VMIC2P0,iríais,456
ir,VMIC1P0,iríamos,456
ir,VMIC3P0,irían,456
ir,VMIC2S0,irías,456
ir,VMSI1P0,iéramos,277
ir,VMIS1S0,í,439
ir,VMII1S0,ía,478
ir,VMII3S0,ía,478
ir,VMII2P0,íais,478
ir,VMII1P0,íamos,478
ir,VMII3P0,ían,478
ir,VMII2S0,ías,478
ir,VMIP2P0,ís,478
ar,VAIP1P0,amos
ar,VAIP3S0,á
ar,VAM02S0,á
ar,VAIP3P0,án
ar,VMIP3P0,án
ar,VAIP2S0,ás
ar,VMIP2S0,ás
